gameId,playId,snapFrame,throwFrame,catchFrame,breakFrame,timeToThrow_sec,anticipation_seconds,passResult,epa,targetId,passerId
2018090600,75,11,36.0,52.0,12.0,2.5,2.4000000000000004,C,0.261827272178674,310.0,310.0
2018090600,146,11,31.0,,,2.0,,I,-0.372359818040743,,310.0
2018090600,168,11,34.0,,,2.3000000000000003,,I,-0.702778658242491,,310.0
2018090600,190,11,39.0,62.0,11.0,2.8000000000000003,2.8000000000000003,C,3.04752999500653,310.0,310.0
2018090600,256,11,31.0,,,2.0,,I,-0.842271872651946,,310.0
2018090600,320,11,29.0,41.0,,1.8,,C,-0.344096467462392,2507763.0,2507763.0
2018090600,344,11,34.0,,,2.3000000000000003,,I,-1.19220828463531,,2506467.0
2018090600,402,11,46.0,,,3.5,,I,-0.429862558722865,,310.0
2018090600,492,11,42.0,61.0,,3.1,,C,1.87980397791624,310.0,310.0
2018090600,521,11,47.0,55.0,14.0,3.6,3.3000000000000003,C,0.0456650977161344,310.0,310.0
2018090600,545,11,60.0,,,4.9,,I,-0.360975619142213,,310.0
2018090600,636,11,34.0,,,2.3000000000000003,,I,-0.87464025884641,,310.0
2018090600,752,11,32.0,42.0,3.0,2.1,2.9000000000000004,C,0.895417100238688,2506467.0,2506467.0
2018090600,776,11,,,,,,S,-0.980175197492843,,
2018090600,839,11,,,,,,S,-2.09210791229075,,
2018090600,889,11,39.0,,,2.8000000000000003,,I,-0.551513059372882,,310.0
2018090600,949,11,32.0,45.0,12.0,2.1,2.0,C,-1.91248252319524,310.0,310.0
2018090600,992,11,39.0,52.0,12.0,2.8000000000000003,2.7,C,-0.436367552621316,2507763.0,2507763.0
2018090600,1037,11,47.0,60.0,52.0,3.6,-0.5,C,2.04406323813351,2507763.0,2507763.0
2018090600,1061,11,38.0,50.0,12.0,2.7,2.6,C,-0.0109423280840701,2507763.0,2507763.0
2018090600,1085,11,36.0,53.0,,2.5,,C,0.906933654201824,2507763.0,2507763.0
2018090600,1202,11,40.0,51.0,10.0,2.9000000000000004,3.0,C,-0.186570050979344,2506467.0,2506467.0
2018090600,1295,11,35.0,,,2.4000000000000004,,I,-0.196980138360778,,2507763.0
2018090600,1344,11,46.0,60.0,10.0,3.5,3.6,C,-0.0996074301692724,2507763.0,2507763.0
2018090600,1423,11,48.0,72.0,12.0,3.7,3.6,C,1.70373128238873,310.0,310.0
2018090600,1473,11,35.0,47.0,11.0,2.4000000000000004,2.4000000000000004,C,1.65196077784543,310.0,310.0
2018090600,1546,11,39.0,,,2.8000000000000003,,I,-0.432497508499145,,310.0
2018090600,1568,11,,,,,,S,-1.67526033448913,,
2018090600,1628,11,36.0,,,2.5,,I,-0.234460854639674,,2506467.0
2018090600,1680,11,36.0,47.0,,2.5,,C,1.29905041710943,2506467.0,2506467.0
2018090600,1750,11,29.0,46.0,11.0,1.8,1.8,C,-0.0155456458690786,2506467.0,2506467.0
2018090600,1779,11,34.0,,,2.3000000000000003,,I,-0.436015926807866,,2506467.0
2018090600,1801,11,42.0,,,3.1,,I,-0.782217050717583,,2506467.0
2018090600,1869,11,34.0,54.0,12.0,2.3000000000000003,2.2,C,0.554217445363523,310.0,310.0
2018090600,1894,11,40.0,,,2.9000000000000004,,I,-0.203175101364772,,310.0
2018090600,1916,11,34.0,47.0,15.0,2.3000000000000003,1.9000000000000001,C,-0.165496721394546,310.0,310.0
2018090600,1940,11,35.0,,,2.4000000000000004,,I,-0.55929349211824,,310.0
2018090600,2055,11,47.0,,,3.6,,I,-0.13965933916381,,2506467.0
2018090600,2094,11,34.0,,,2.3000000000000003,,I,-0.231390505107339,,2506467.0
2018090600,2116,11,37.0,51.0,12.0,2.6,2.5,C,-0.303331483263682,2506467.0,2506467.0
2018090600,2260,11,35.0,49.0,12.0,2.4000000000000004,2.3000000000000003,C,0.008764837684013,2507763.0,2507763.0
2018090600,2360,11,50.0,,,3.9000000000000004,,I,-0.910224738729544,,2507763.0
2018090600,2382,11,25.0,39.0,53.0,1.4000000000000001,-2.8000000000000003,C,-1.76344433060701,2532842.0,2532842.0
2018090600,2450,11,30.0,44.0,3.0,1.9000000000000001,2.7,C,0.808959285439665,310.0,310.0
2018090600,2474,11,52.0,,,4.1000000000000005,,I,-0.539791362795039,,310.0
2018090600,2503,11,56.0,,,4.5,,I,-1.86812193376052,,310.0
2018090600,2575,11,33.0,46.0,10.0,2.2,2.3000000000000003,C,-1.13773379448097,310.0,310.0
2018090600,2624,11,26.0,40.0,6.0,1.5,2.0,C,-0.266957942570515,2506467.0,2506467.0
2018090600,2648,11,38.0,51.0,11.0,2.7,2.7,C,-0.559747424888697,2506467.0,2506467.0
2018090600,2693,11,41.0,,,3.0,,I,-0.448355488655686,,2506467.0
2018090600,2736,11,45.0,67.0,12.0,3.4000000000000004,3.3000000000000003,C,1.92498539323406,2507763.0,2507763.0
2018090600,2764,11,41.0,,,3.0,,I,-0.248842215430695,,2507763.0
